"Index","videoId","title"
"10","jvzPLZQQD3A","How Microsoft uses Agentic AI to accelerate software delivery"
"12","5aXg3ML_Jl0","AWS re:Invent 2025 - Architecting multicloud solutions from data mesh to generative AI (HMC210)"
"16","P7le7QE1IJw","Agentic AI: From Architecture to Execution"
"56","OGvXA1dAh1U","AWS re:Invent 2025 - Agentic AI Meets responsible AI: Strategy and best practices (AIM422)"
"57","Ae0Oa1kEyBg","Riding AI Waves: Agentic AI, Open Source Tools, &amp; AI Adoption Challenges"
"58","R49Cv7pJ2KA","Keynote | Threat Modeling Agentic AI Systems: Proactive Strategies for Security and Resilience"
"59","qB7AobjQqsU","AWS re:Invent 2025 - Epic journey: Navigating the AI-powered SDLC from backlog to production(DVT208)"
"60","v07Y4fmSi6Y","Risks of Agentic AI: What You Need to Know About Autonomous AI"
"62","omQ2t4stQOY","Securing AI at Scale: Lessons learned from bp and AWS | AWS Events"
"63","6ohbE0avny8","Active Metadata and Governance for Agentic AI | Concepts Explained"
"68","1HNUH6j5t4A","AWS re:Invent 2025 - Introducing AI driven development lifecycle (AI-DLC) (DVT214)"
"69","HbK-GDlEZ3Y","5 Predictions for Agentic AI in 2026 ft Robb Wilson | Invisible Machines Podcast"
"71","GD7MnIwAxYM","Introducing Azure AI Foundry - Everything you need for AI development"
"77","1HNUH6j5t4A","AWS re:Invent 2025 - Introducing AI driven development lifecycle (AI-DLC) (DVT214)"
"81","jvzPLZQQD3A","How Microsoft uses Agentic AI to accelerate software delivery"
"83","asWTC3oc-SA","AWS re:Invent 2025 - Beyond a Chatbot: How to Build Intelligent Agent Memory (AIM284)"
"85","tr5Fapv80Cw","Building Agentic AI Workloads – Crash Course"
"88","GD7MnIwAxYM","Introducing Azure AI Foundry - Everything you need for AI development"
"103","qqZ19ZDELb0","Agentic AI for Finance and Operations"
"105","OGvXA1dAh1U","AWS re:Invent 2025 - Agentic AI Meets responsible AI: Strategy and best practices (AIM422)"
"106","YmXszEVI-x8","AWS re:Invent 2025 - Integrate any agent framework with Amazon Bedrock AgentCore (AIM396)"
"107","VkIRXfty13c","Gemini Enterprise and the New Way to Work"
"108","uLHF9T1SLrU","Gemini at Work 2025"
"109","0z1rxGlhIkk","AWS re:Invent 2025 - The Shapeshifting Application: Architecture That Transforms Across AWS (CNS426)"
"110","9B9Vw35jZGU","AWS re:Invent 2025 - The Great ReImagining: Thriving in the Age of AI Agents (AIM3322)"
"111","U7Nkuyt6X0M","AWS re:Invent 2025 - Reimagining AWS operations with autonomous AI agents (DEV207)"
"112","oZWjM4kr-Oc","AWS re:Invent 2025 - Building AI Agents with Kiro, MCP, and Amazon Bedrock AgentCore (DEV331)"
"113","rG8OKTYK6o8","AWS re:Invent 2025 - A leader&#39;s guide to agentic AI (SNR201)"
"114","cPru70ADRg8","AWS re:Invent 2025 - Building autonomous AI at scale with Amazon Bedrock (AIM390)"
"115","YUYwsUhNfBY","AWS re:Invent 2025 - A leader&#39;s guide to data strategy in the era of agentic AI (SNR202)"
"118","ymwpOYMg1ng","AWS re:Invent 2025 - Keep Your Agents Out of Trouble with Amazon Bedrock AgentCore (AIM3330)"
"119","QGQvo0Mi4JQ","AWS re:Invent 2025 - Leveraging Agentic AI to process Intelligent automation workloads on AWS Cloud"
"120","Eheg5cKfFnE","AWS re:Invent 2025 - The Future is Human: Intentional Innovation in the AI Era (WOC102)"
"121","bLbNzI7Ck78","AWS re:Invent 2025 - Modernize Legacy Applications with Agentic AI (DEV333)"
"122","tr5Fapv80Cw","Building Agentic AI Workloads – Crash Course"
"127","e2zIr_2JMbE","Master ALL 20 Agentic AI Design Patterns [Complete Course]"
"144","D0UkoghAVM0","AWS re:Invent 2025 - AI agents in action: Architecting the future of applications (INV202)"
"145","DAh1JHOe56w","AWS re:Invent 2025 - Navigating the future: Solutions architecture in the age of AI (ARC203)"
"146","YUYwsUhNfBY","AWS re:Invent 2025 - A leader&#39;s guide to data strategy in the era of agentic AI (SNR202)"
"147","rG8OKTYK6o8","AWS re:Invent 2025 - A leader&#39;s guide to agentic AI (SNR201)"
"148","1HNUH6j5t4A","AWS re:Invent 2025 - Introducing AI driven development lifecycle (AI-DLC) (DVT214)"
"174","zt0JA5rxdfM","AI Trends 2026: Quantum, Agentic AI &amp; Smarter Automation"
"208","CvZDJxd4LKM","Agentic AI MOOC | UC Berkeley CS294-196 Fall 2025 | Agentic AI Safety &amp; Security by Dawn Song"
"210","QGZ24YhbZT8","Google Stitch 2.0 Tutorial: From Sketch to Code with Gemini 3.0"
"211","7dsaxBUZPII","Turn your drawings into working marketing apps in minutes with Gemini Canvas"
"213","f0TL0GG_lo8","Gemini 3 Flash: Visual context in an instant"
"214","MZCpgTi-Iys","Gemini 3: Turn a research paper into an interactive website"
"215","uG4HG6DwCa4","Exploring Math, Physics, and AI With Google&#39;s Gemini 3!"
"229","chr2I7CZTfk","Gemini 3 Pro: Breakdown"
"239","u-CNn0ilISc","Resilience Redesigned: Architecting the Agentic and Post-Quantum Future"
"240","OMgscJn3vbM","Agentic AI for Risk Management: Futureproofing Business Resilience"
"241","CvZDJxd4LKM","Agentic AI MOOC | UC Berkeley CS294-196 Fall 2025 | Agentic AI Safety &amp; Security by Dawn Song"
"246","hPglmtJqv7k","How to Use Gemini in Google Sheets | Complete Gemini in Sheets Tutorial"
"247","CwahEtE6w9Q","How to Build Smart Tables Instantly with AI | Google Sheets (Gemini)"
"275","9X5QtRUW0LA","Agentic AI Solutions with CrewAI and Nemotron | Nemotron Labs"
"357","nrfpu7mor6g","Gemini 3: Interact with a virtual OS by simply drawing"
"358","ti6Z3zMLsNA","Gemini 3: Zero-shot website development"
"359","3I4Te_ZSgqY","Gemini 3: Reasoning with voxel art"
"360","Avx2m5Igugo","Gemini 3: Bring anything to life"
"361","MZCpgTi-Iys","Gemini 3: Turn a research paper into an interactive website"
"362","qOL49DYWr7s","Gemini 3: Code a retro 3D spaceship game with a single prompt"
"363","huK9q10qf40","Gemini 3: Code a visualization of nuclear fusion"
"364","K-p80fCfB4Q","Gemini 3: Code a 3D visualization of the universe"
"365","5njF8J0mQ1k","Bring ideas to life with Gemini 3"
"366","meUr8fjy8lQ","Vibe Coding with Gemini 3 in Google AI Studio"
"367","98DcoXwGX6I","A new era of intelligence with Gemini 3"
"368","z4x9fkbe8SI","Gemini 3 Flash: Creative UI in a spark"
"369","1nd0CbaJD3E","Gemini 3 Flash: Transform messy data"
"370","bY_RarpUdUw","Gemini 3 Flash: Evolve code faster"
"371","XHhCZOk2WvY","Gemini 3 Flash: Renders faster and efficiently"
"372","DNPLK-MvoSg","Gemini 3 Flash: Assist in real-time game play"
"373","DfaRahn_dwo","Gemini 3 Flash: Orchestrate a function call kitchen"
"374","ZtMEe3W0aP0","Gemini 3 Flash: Generate a narrative of your journey"
"375","f0TL0GG_lo8","Gemini 3 Flash: Visual context in an instant"
"378","zt0JA5rxdfM","AI Trends 2026: Quantum, Agentic AI &amp; Smarter Automation"
"449","QktFsc4LuoI","The Immutable Laws of Software and Life: Code Accordingly - Cory House - NDC Copenhagen 2025"
"456","hj0nTLbhIEY","Build ANYTHING with Gemini 3 | The Agent Factory Podcast"
"459","VkIRXfty13c","Gemini Enterprise and the New Way to Work"
"476","7T_TjH6P8CE","Google’s Gemini 3: AI agents, reasoning and search mode"
"477","Edol3PGrQQE","Gemini 3: Code a retro 3D spaceship game with a single prompt"
"499","hj0nTLbhIEY","Build ANYTHING with Gemini 3 | The Agent Factory Podcast"
"500","ku-N-eS1lgM","Gemini 3 for Developers"
"502","98DcoXwGX6I","A new era of intelligence with Gemini 3"
"521","zEMXCoqJodE","AI coding with Gemini CLI - Google&#39;s terminal agentic coding tool"
"527","8KZiwhWUMa8","Building Agentic AI-Powered Digital Twins for Manufacturing Operations"
